date,hour,mean_smp,p5_smp,p95_smp,smp_pre,mean_curtailment
2024-08-20,22,73876.48300000001,73876.48300000001,73876.48300000001,73876.48300000001,0.0
2024-08-20,23,74116.92672999999,74116.92673,74116.92673,74116.92673,0.0
2024-08-20,24,72189.60484999992,72189.60484999999,72189.60484999999,72189.60484999999,0.0
2024-10-20,1,63377.053359999925,63377.05336,63377.05336,63377.05336,0.0
2024-10-20,2,62959.18730999999,62959.18731000001,62959.18731000001,62959.18731000001,0.0
2024-10-20,3,61742.73887,61742.73887,61742.73887,61742.73887,0.0
2024-10-20,4,61742.73887,61742.73887,61742.73887,61742.73887,0.0
2024-10-20,5,61742.73887,61742.73887,61742.73887,61742.73887,0.0
2024-10-20,6,61742.73887,61742.73887,61742.73887,61742.73887,0.0
2024-10-20,7,62647.855200000035,62647.8552,62647.8552,62647.8552,0.0
2024-10-20,8,61742.73887,61742.73887,61742.73887,61742.73887,0.0
2024-10-20,9,57941.97502999996,57941.975029999994,57941.975029999994,57941.975029999994,0.0
2024-10-20,10,54459.58263000003,54459.582630000004,54459.582630000004,54459.582630000004,0.0
2024-10-20,11,52999.09176999997,52999.09177,52999.09177,52999.09177,0.0
2024-10-20,12,51675.754949999995,51675.75495,51675.75495,51675.75495,0.0
2024-10-20,13,52999.09176999997,52999.09177,52999.09177,52999.09177,0.0
2024-10-20,14,54492.93789999995,54492.937900000004,54492.937900000004,54492.937900000004,0.0
2024-10-20,15,55809.379000000044,55809.379,55809.379,55809.379,0.0
2024-10-20,16,60873.51574000005,60873.515739999995,60873.515739999995,60873.515739999995,0.0
2024-10-20,17,63313.33688999998,63313.336890000006,63313.336890000006,63313.336890000006,0.0
2024-10-20,18,64657.66226000004,64657.662260000005,64657.662260000005,64657.662260000005,0.0
2024-10-20,19,65217.33324000001,65217.33323999999,65217.33323999999,65217.33323999999,0.0
2024-10-20,20,65217.33324000001,65217.33323999999,65217.33323999999,65217.33323999999,0.0
2024-10-20,21,65349.06095999997,65349.060959999995,65349.060959999995,65349.060959999995,0.0
2024-10-20,22,65205.89131999998,65205.89132,65205.89132,65205.89132,0.0
2024-10-20,23,64657.66226000004,64657.662260000005,64657.662260000005,64657.662260000005,0.0
2024-10-20,24,64469.47405999998,64469.47406,64469.47406,64469.47406,0.0
2024-10-25,1,65124.900499999996,65124.900499999996,65124.900499999996,65124.900499999996,0.0
2024-10-25,2,64657.66226000004,64657.662260000005,64657.662260000005,64657.662260000005,0.0
2024-10-25,3,64352.79864000006,64352.79864,64352.79864,64352.79864,0.0
2024-10-25,4,64028.81571999995,64028.81572,64028.81572,64028.81572,0.0
2024-10-25,5,64279.37297500006,64279.372975,64279.372975,64279.372975,0.0
2024-10-25,6,64657.66226000004,64657.662260000005,64657.662260000005,64657.662260000005,0.0
2024-10-25,7,65348.44475999996,65348.44476,65348.44476,65348.44476,0.0
2024-10-25,8,66293.79272999996,66293.79273,66293.79273,66293.79273,0.0
2024-10-25,9,65855.04683999998,65855.04684,65855.04684,65855.04684,0.0
2024-10-25,10,65124.900499999996,65124.900499999996,65124.900499999996,65124.900499999996,0.0
2024-10-25,11,64469.47405999998,64469.47406,64469.47406,64469.47406,0.0
2024-10-25,12,63991.634349999986,63991.63435,63991.63435,63991.63435,0.0
2024-10-25,13,63313.33688999998,63313.336890000006,63313.336890000006,63313.336890000006,0.0
2024-10-25,14,65205.89131999998,65205.89132,65205.89132,65205.89132,0.0
2024-10-25,15,66036.92351249992,66036.9235125,66036.9235125,66036.9235125,0.0
2024-10-25,16,66612.91226000006,66612.91226000001,66612.91226000001,66612.91226000001,0.0
2024-10-25,17,66765.66495000005,66765.66495,66765.66495,66765.66495,0.0
2024-10-25,18,66293.79272999996,66293.79273,66293.79273,66293.79273,0.0
2024-10-25,19,66612.91226000006,66612.91226000001,66612.91226000001,66612.91226000001,0.0
2024-10-25,20,66612.91226000006,66612.91226000001,66612.91226000001,66612.91226000001,0.0
