기간,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최대,최소,가중평균
2024/10/19,100.85,92.95,92.56,85.47,85.64,92.7,93.02,93.02,101.26,110.96,112.04,112.03,110.89,101.75,101.35,101.36,101.36,101.99,139.29,139.29,102.23,99.11,93.02,93.02,139.29,85.47,102.82
2024/10/18,116.77,104.4,104.46,98.74,104.46,104.46,104.77,105.64,141.78,142.24,142.24,142.9,138.17,143.55,143.57,143.57,152.67,141.4,141.66,134.37,139.7,105.58,105.37,105.11,152.67,98.74,126.98
2024/10/17,101.52,92.34,92.29,92.27,92.34,100.76,101.05,125.6,138.75,141.09,141.08,141.05,140.76,141.07,141.07,141.05,141.08,138.69,140.8,140.8,135.86,129.25,105.24,105.24,141.09,92.27,124.86
2024/10/16,100.68,92.35,92.35,92.14,92.35,106.1,106.97,116.76,138.66,138.68,154.49,138.67,133.51,138.67,138.67,138.67,145.28,145.41,145.53,145.3,135.21,125.4,128.3,106.97,154.49,92.14,126.25
2024/10/15,105.26,104.02,104.02,100.48,100.48,104.64,105.11,119.52,139.78,139.64,139.66,139.67,120.39,139.73,140.51,142.64,142.64,142.64,142.64,140.52,140.5,134.93,134.93,129.17,142.64,100.48,128.48
2024/10/14,100.91,92.02,86.58,86.58,86.58,86.58,92.74,105.19,137.39,161.25,140.64,140.63,137.7,140.52,140.57,148.44,150.11,140.62,140.64,137.7,137.16,136.67,130.5,105.28,161.25,86.58,126.37
2024/10/13,103.27,99.54,91.83,83.33,92.33,105.76,108.25,105.25,92.37,92.52,92.52,92.38,92.22,92.45,92.29,92.51,92.51,101.67,105.94,105.95,105.88,103.12,103.12,101.9,108.25,83.33,98.32
2024/10/12,105.62,103.11,103.41,103.44,103.44,103.36,105.62,100.48,100.2,100.24,106.59,106.58,106.44,105.67,100.09,105.82,105.88,106.6,107.29,107.36,107.36,106.72,106.72,106.72,107.36,100.09,104.85
2024/10/11,105.18,105.04,105.08,104.64,105.01,105.49,105.35,106.21,137.96,141.15,141.15,140.95,140.81,141.13,150.58,150.58,140.92,137.96,137.95,134.35,134.35,136.86,126.87,106.13,150.58,104.64,127.74
2024/10/10,102.43,92.04,92.09,77.02,77.02,92.54,95.66,100.75,128.48,140.26,140.25,140.2,134.76,140.23,140.23,140.02,140.09,140.24,140.24,140.02,134.54,129.37,124.12,111.07,140.26,77.02,122.49
2024/10/09,100.32,99.84,99.16,95.03,98,98.76,100.39,100.67,121.48,138.97,138.97,142.14,138.88,138.85,139.4,151.88,138.97,138.75,139.38,139.4,134.6,129.82,127.37,105.51,151.88,95.03,123.77
2024/10/08,105.11,104.26,104.26,103.64,104.03,104.26,104.69,129.58,138.66,138.65,135.45,135.31,122.21,135.07,135.51,140.55,140.55,140.55,140.55,135.53,129.58,128.3,120.43,114.34,140.55,103.64,125.44
2024/10/07,92.47,92.47,92.2,91.96,92.26,92.24,97.64,100.67,160.52,160.52,141.26,141.11,137.92,139.2,139.23,139.16,139.27,139.27,139.06,139.26,138.36,134.48,120.89,114.68,160.52,91.96,126.62
2024/10/06,83.42,79.1,77.26,76.01,76.01,77.73,78.46,76.01,76.01,76.01,92.66,92.89,93.34,101.96,102.02,101.58,101.71,102.03,102.04,102.05,102.05,101.76,93.35,93.25,102.05,76.01,90.59
2024/10/05,100.35,95.45,92.23,84.94,95.28,95.33,98.63,96.09,101.49,101.14,101.25,137.05,100.91,100.9,100.78,100.99,100.91,101.31,105.75,105.75,105.75,105.67,101.73,101.73,137.05,84.94,101.31
2024/10/04,100.68,78.12,78.12,78.12,78.12,78.24,92.72,105.97,123.46,136.94,139.28,136.94,127.13,127.69,130.36,130.36,139.44,139.44,136.94,128.58,105.93,100.96,100.96,100.76,139.44,78.12,114.36
2024/10/03,92.46,92.4,91.88,87.04,91.66,92.4,92.46,101.05,123.06,137.43,140.72,140.08,135.61,135.6,135.61,135.61,129.06,120.8,121.16,106.16,106.16,101.05,101.06,100.64,140.72,87.04,114.12
2024/10/02,105.41,98.22,98.22,98.32,98.32,103.6,105.41,129.24,139.3,152.32,152.32,139.28,137.89,139.25,139.27,141.38,141.38,141.38,144.08,144.08,135.44,128.59,128.3,113.21,152.32,98.22,128.73
2024/10/01,106.02,95.8,95.5,92.19,95.5,95.89,106.03,137.32,137.36,139.92,140.32,140.33,140.16,140.33,140.32,140.33,140.33,139.32,139.92,139.92,137.36,137.32,128.91,107.21,140.33,92.19,126.95
2024/09/30,107.11,92.82,92.5,92.21,92.41,92.73,106.4,106.9,142.73,142.76,145.72,145.7,142.75,149.89,149.89,149.89,149.89,145.7,145.72,142.76,142.5,139.3,141.64,121.75,149.89,92.21,131.12
2024/09/29,106.35,92.55,92.55,92.55,92.33,92.55,92.55,104.13,105.27,107.71,107.71,107.65,107.65,107.65,107.65,116.06,116.06,145.61,146.02,146.22,142.05,116.2,107.71,107.71,146.22,92.33,112.03
2024/09/28,114.2,107.21,107.22,106.77,106.32,107.02,107.22,107.21,107.18,132.33,140.72,139.97,139.77,141.74,152.33,146.93,146.93,146.93,146.94,144.72,144.51,141.38,134.21,107.19,152.33,106.32,129.14
2024/09/27,106.69,106.7,106.7,106.34,106.57,106.72,131.93,156,144.66,144.27,152.82,149.09,144.06,152.2,149.68,147.2,146.84,146.84,146.84,146.84,146.84,144.66,136.64,130.21,156,106.34,137.22
2024/09/26,106.93,106.94,106.53,105.24,106.42,106.86,106.95,156.6,156.46,156.47,156.47,146.71,146.49,146.71,146.7,144.25,144.25,146.82,146.82,144.27,144.27,144.89,139.19,106.95,156.6,105.24,135.7
2024/09/25,107.05,107.43,106.43,106.2,106.17,106.4,107.44,158.06,131.78,144.32,144.58,144.56,144.45,144.58,147.07,147.07,147.07,147.21,147.21,143.8,140.36,133.54,133.66,107.4,158.06,106.17,132.81
2024/09/24,107.11,107.12,105.88,105.54,105.68,106.74,107.14,107.11,145.52,149.38,152.33,149.34,146.78,149.31,149.31,149.31,146.69,146.69,144.81,144.81,144.81,139.96,138.4,107.09,152.33,105.54,133.5
2024/09/23,131.98,106.57,106.57,106.57,106.57,106.57,106.57,141.99,142.65,147.22,147.67,147.58,147.6,153.67,163.31,155.37,154.69,148.4,148.43,147.67,144.76,144.05,142.56,142.65,163.31,106.57,139.5
2024/09/22,137.35,115.03,111.72,111.72,111.72,111.72,113.26,140.39,143.63,143.63,143.63,144.36,144.35,151.56,144.38,152.29,144.38,144.38,144.38,151.01,144.36,143.63,142.04,138.97,152.29,111.72,137.18
2024/09/21,142.31,137.52,137.46,107.06,107.06,107.06,107.05,141.94,147.92,149.8,152.75,150.44,144.99,144.99,144.99,142.94,142.88,142.94,143.92,143.92,142.94,142.77,142.76,142.94,152.75,107.05,138.72
2024/09/20,227.24,145.53,145.53,129.58,132.35,140.2,141.23,146.39,154.69,159.67,159.71,159.35,156.91,159.36,159.71,163.3,163.3,163.3,163.87,159.66,159.5,147.57,147.21,145.74,227.24,129.58,156.19
2024/09/19,107.03,107.03,106.65,106.38,106.38,106.49,107.03,131.15,143.01,147.56,147.99,147.29,147.29,150.24,150.24,198.52,150.24,149.09,148.05,146.64,146.04,145.73,139.49,135.82,198.52,106.38,138.92
2024/09/18,107.51,107.27,106.58,106.58,106.58,106.82,107.51,107.51,115.28,137.29,137.95,140.15,140.05,140.05,140.05,147.45,147.45,147.45,147.45,141.63,141.63,141.16,133,115.28,147.45,106.58,129
2024/09/17,106.76,104.79,99.89,99.89,99.89,99.89,105.06,106.11,107.12,107.13,107.96,107.92,107.92,115.7,115.7,137.89,137.87,141.95,145.82,142.1,142.1,137.85,133,107.96,145.82,99.89,118.55
2024/09/16,114.47,107.54,106.62,106.62,106.56,106.62,107.54,107.54,107.49,107.49,141.41,140.17,140.07,140.07,141.62,147.75,147.75,147.75,147.76,141.63,141.63,137.9,137.3,115.01,147.76,106.56,127.85
2024/09/15,144.99,107.11,107.11,107.11,107.11,107.11,107.11,107.11,137.45,138.39,138.19,140.86,144.27,146.18,146.18,150.01,150.01,150.01,150.4,150.27,147.36,146.45,140.08,138.6,150.4,107.11,134.66
2024/09/14,170.14,143.77,137.95,137.72,134.55,134.55,144.83,144.83,145.15,149.05,149.05,148.84,148.84,151.7,150.34,148.84,148.84,146.91,151.56,148.15,146.74,145.85,142.97,142.55,170.14,134.55,146.57
2024/09/13,144.45,138.08,138.08,138.08,138.08,142.26,144.47,144.47,146.59,151.34,151.34,151.1,145.56,150.21,151.29,149.52,149.52,146.59,146.59,146.59,143.42,142.92,140.26,143.82,151.34,138.08,145.53
